contention,async-channel bounded(1),async-channel bounded(2),async-channel bounded(4),async-channel bounded(8),async-channel bounded(16),async-channel bounded(32),async-channel bounded(64),async-channel bounded(128),async-channel unbounded,flume bounded(1),flume bounded(2),flume bounded(4),flume bounded(8),flume bounded(16),flume bounded(32),flume bounded(64),flume bounded(128),flume unbounded
0,836.1517067357237,758.1960611000459,737.5079472520492,747.5190973319357,740.6645309741251,732.1703783784844,736.6009113484718,729.5492099182053,488.43399751595155,2767.5002643852595,1317.3932142998976,889.8559900552068,853.8794270815113,912.8535166765344,830.0096635807032,853.4114158213658,861.0375155023589,688.2933192747228
1,12350.976537072767,2481.110598224963,2101.498682768781,2079.5144748444354,2083.225896367178,2060.0039124876293,2066.201229557482,2089.4454198162207,545.8304176666352,3696.712250371921,2890.3841562712246,2926.417035101447,2923.843662164129,2883.633237232142,2912.055795685567,2883.0344979706624,2828.2371922556554,1055.0543922364993
2,19044.099786928236,4628.615987858915,3931.625767114857,3754.4137517074264,3805.1946411854087,3722.475778860502,3731.3841296812448,3711.296135603625,559.5295889849574,6275.152768818769,4962.039108079481,4940.0574000597935,5025.592410895085,4824.087866844551,4965.855729197017,4939.486395084337,4844.668174837432,1135.2778459416627
4,23107.92467161875,4446.824586942772,5305.92924206183,4724.901477078841,3748.120798098414,3986.737699821454,3844.4521865864335,4061.9062723680395,588.931286743596,13761.791229098942,11091.936986083889,10309.75263323257,10756.95348917692,10418.449916753916,10680.246286370573,10258.251055364244,9996.353153650438,899.8546511172627
