contention,async-channel bounded(1),async-channel bounded(2),async-channel bounded(4),async-channel bounded(8),async-channel bounded(16),async-channel bounded(32),async-channel bounded(64),async-channel bounded(128),async-channel unbounded,flume bounded(1),flume bounded(2),flume bounded(4),flume bounded(8),flume bounded(16),flume bounded(32),flume bounded(64),flume bounded(128),flume unbounded
0,795.7768759245952,802.0879197903449,786.5526680125181,785.2752320441413,786.209038942241,774.6805301939514,774.774653258762,775.7114935137917,833.2383498964039,4027.385230888644,1601.2989999562578,1408.9924039411076,1315.7481847788822,1296.9962823582266,1275.1030477563859,1424.2132570103295,1419.3522642879323,1326.4627626982194
1,12148.342510783477,2492.3872458017104,2300.739594188679,2216.298291106362,2220.3026912445844,2219.069036812569,2201.403040732771,2188.1593283121097,2319.159455465342,6480.70902248499,4789.162700628945,4146.785558611078,4127.004854735547,3966.683393573416,4187.445891177096,4205.7664918968185,3866.1710338280286,3901.777450622003
2,19168.462591283882,4722.854377730275,4186.728569724258,4025.588504501269,3976.566848798751,3941.135220254091,3976.442507778543,3943.0296323957973,4129.901609472493,11120.437130092832,8276.987960272447,7941.197578853628,8087.398565333379,8026.554508400663,8220.585949792974,8172.300902569495,7892.341678174969,7399.832606409235
4,5786.2200978327965,4714.824246609032,5387.501732573635,4757.36662008754,4719.485756579595,4245.644942935219,4803.683685374482,4691.992783183299,2851.6740866294376,41226.83364403815,28315.176033540334,27534.865490867258,28220.12708177551,28001.45409009453,27778.210364885228,26031.65735924024,25819.00330210991,25255.925155885372
